estado	count	abrev	lat	long	countlog	text
Aguascalientes	36	Ags.	22.021667	-102.35638900000001	3.58351893845611	Ags.<br>36
Baja California	35	B. C.	29.95	-115.11666699999999	3.5553480614894135	B. C.<br>35
Baja California Sur	17	B. C. S.	25.846110999999997	-111.972778	2.833213344056216	B. C. S.<br>17
Campeche	5	Camp.	18.836389	-90.40333299999999	1.6094379124341003	Camp.<br>5
Chiapas	14	Chis.	16.41	-92.408611	2.6390573296152584	Chis.<br>14
Chihuahua	7	Chih.	28.814166999999998	-106.439444	1.9459101490553132	Chih.<br>7
Ciudad de México	235	CDMX	19.419444	-99.145556	5.459585514144159	CDMX<br>235
Coahuila	44	Coah.	27.302221999999997	-102.044722	3.784189633918261	Coah.<br>44
Colima	2	Col.	19.096667	-103.960833	0.6931471805599453	Col.<br>2
Durango	7	Dgo.	24.934722	-104.91194399999999	1.9459101490553132	Dgo.<br>7
Guanajuato	46	Gto.	21.018889	-101.262778	3.828641396489095	Gto.<br>46
Guerrero	15	Gro.	17.613056	-99.95	2.70805020110221	Gro.<br>15
Hidalgo	19	Hgo.	20.478333	-98.86361099999999	2.9444389791664403	Hgo.<br>19
Jalisco	96	Jal.	20.566667000000002	-103.676389	4.564348191467836	Jal.<br>96
Michoacán	21	Mich.	19.168611	-101.899722	3.044522437723423	Mich.<br>21
Morelos	7	Mor.	18.7475	-99.070278	1.9459101490553132	Mor.<br>7
México	149	Méx.	19.354167	-99.630833	5.003946305945459	Méx.<br>149
Nayarit	6	Nay.	21.743889000000003	-105.228333	1.791759469228055	Nay.<br>6
Nuevo León	76	N. L.	25.566667000000002	-99.970556	4.330733340286331	N. L.<br>76
Oaxaca	14	Oax.	16.898056	-96.414167	2.6390573296152584	Oax.<br>14
Puebla	81	Pue.	19.003611	-97.88833299999999	4.394449154672439	Pue.<br>81
Quintana Roo	47	Q. R.	19.6	-87.916667	3.8501476017100584	Q. R.<br>47
San Luis Potosí	25	S. L. P.	22.603333	-100.429722	3.2188758248682006	S. L. P.<br>25
Sinaloa	27	Sin.	25.002778	-107.502778	3.295836866004329	Sin.<br>27
Sonora	17	Son.	29.646110999999998	-110.868889	2.833213344056216	Son.<br>17
Tabasco	48	Tab.	17.972222	-92.588889	3.871201010907891	Tab.<br>48
Tamaulipas	8	Tamps.	24.287222	-98.563333	2.0794415416798357	Tamps.<br>8
Tlaxcala	4	Tlax.	19.428889	-98.160833	1.3862943611198906	Tlax.<br>4
Veracruz	27	Ver.	19.434722	-96.38305600000001	3.295836866004329	Ver.<br>27
Yucatán	49	Yuc.	20.833333	-89.0	3.8918202981106265	Yuc.<br>49
Zacatecas	6	Zac.	23.292778	-102.700556	1.791759469228055	Zac.<br>6
