estado	count	abrev	lat	long	countlog	text
Aguascalientes	24	Ags.	22.021667	-102.35638900000001	3.1780538303479458	Ags.<br>24
Baja California	27	B. C.	29.95	-115.11666699999999	3.295836866004329	B. C.<br>27
Baja California Sur	13	B. C. S.	25.846110999999997	-111.972778	2.5649493574615367	B. C. S.<br>13
Campeche	3	Camp.	18.836389	-90.40333299999999	1.0986122886681098	Camp.<br>3
Chiapas	12	Chis.	16.41	-92.408611	2.4849066497880004	Chis.<br>12
Chihuahua	6	Chih.	28.814166999999998	-106.439444	1.791759469228055	Chih.<br>6
Ciudad de México	206	CDMX	19.419444	-99.145556	5.327876168789581	CDMX<br>206
Coahuila	39	Coah.	27.302221999999997	-102.044722	3.6635616461296463	Coah.<br>39
Colima	2	Col.	19.096667	-103.960833	0.6931471805599453	Col.<br>2
Durango	7	Dgo.	24.934722	-104.91194399999999	1.9459101490553132	Dgo.<br>7
Guanajuato	43	Gto.	21.018889	-101.262778	3.7612001156935624	Gto.<br>43
Guerrero	13	Gro.	17.613056	-99.95	2.5649493574615367	Gro.<br>13
Hidalgo	17	Hgo.	20.478333	-98.86361099999999	2.833213344056216	Hgo.<br>17
Jalisco	92	Jal.	20.566667000000002	-103.676389	4.5217885770490405	Jal.<br>92
Michoacán	17	Mich.	19.168611	-101.899722	2.833213344056216	Mich.<br>17
Morelos	6	Mor.	18.7475	-99.070278	1.791759469228055	Mor.<br>6
México	136	Méx.	19.354167	-99.630833	4.912654885736052	Méx.<br>136
Nayarit	6	Nay.	21.743889000000003	-105.228333	1.791759469228055	Nay.<br>6
Nuevo León	75	N. L.	25.566667000000002	-99.970556	4.31748811353631	N. L.<br>75
Oaxaca	14	Oax.	16.898056	-96.414167	2.6390573296152584	Oax.<br>14
Puebla	76	Pue.	19.003611	-97.88833299999999	4.330733340286331	Pue.<br>76
Quintana Roo	43	Q. R.	19.6	-87.916667	3.7612001156935624	Q. R.<br>43
San Luis Potosí	25	S. L. P.	22.603333	-100.429722	3.2188758248682006	S. L. P.<br>25
Sinaloa	24	Sin.	25.002778	-107.502778	3.1780538303479458	Sin.<br>24
Sonora	17	Son.	29.646110999999998	-110.868889	2.833213344056216	Son.<br>17
Tabasco	38	Tab.	17.972222	-92.588889	3.6375861597263857	Tab.<br>38
Tamaulipas	8	Tamps.	24.287222	-98.563333	2.0794415416798357	Tamps.<br>8
Tlaxcala	4	Tlax.	19.428889	-98.160833	1.3862943611198906	Tlax.<br>4
Veracruz	26	Ver.	19.434722	-96.38305600000001	3.258096538021482	Ver.<br>26
Yucatán	46	Yuc.	20.833333	-89.0	3.828641396489095	Yuc.<br>46
Zacatecas	6	Zac.	23.292778	-102.700556	1.791759469228055	Zac.<br>6
